"","NAME","DISTRIBUTION"
"1"," Charmus indicus Hirst, 1915","Andhra Pradesh, Kerala, Pondicherry and Tamil Nad"
"2"," Hottentotta rugiscutis (Pocock, 1897) (Fig. 36)","Andhra Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Pondicherry, Tamil Nadu and West Benga"
"3"," Isometrus (Reddyanus) brachycentrus Pocock, 1899","Kerala, Karnataka, and Tamil Nad"
"4"," Isometrus (Isometrus) maculatus (De Geer, 1778)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Meghalaya and Tamil Nad"
"5"," Isometrus(Isometrus) thurstoni Pocock, 1893","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu and West Benga"
"6"," Lychas albimanus Henderson, 1919","Kerala, Himachal Pradesh, Odisha, Uttar Pradesh and Tamil Nadu"
"7"," Lychas hendersoni (Pocock, 1897)","Kerala and Tamil Nad"
"8"," Lychas laevifrons (Pocock, 1897)","Kerala, Bihar, Gujarat, Madhya Pradesh, Maharashtra, Odisha and West Benga"
"9"," Lychas tricarinatus (Simon, 1884)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu, Bihar and Go"
"10","Buthoscorpio chinnarensis Aswathi, Sureshan & Lourenco, 2015","Keral"
"11","Chiromachetes fergusoni Pocock, 1899","Kerala"
"12","Iomachus laeviceps (Pocock, 1890)","Kerala and Tamil Nad"
"13","Liocheles australasiae (Fabricius, 1775)","Kerala and Andaman & Nicobar Islan"
"14","Heterometrus barberi (Pocock, 1900)","Distribution: Kerala and Tamil Nad"
"15","Heterometrus gravimanus (Pocock, 1894)","Distribution: Kerala and Tamil Nad"
"16","Heterometrus kanaraensis (Pocock, 1900)","Kerala, Karnataka and Go"
"17","Heterometrus keralaensis Tikader & Bastawade, 1983","Kerala and Maharashtr"
"18","Heterometrus phipsoni (Pocock, 1893)","Kerala, Andhra Pradesh, Madhya Pradesh, Maharashtra, Odisha, West Bengal and Tamil Nad"
"19","Heterometrus scaber (Thorell, 1876)","Kerala, Karnataka, Maharashtra, Puducherry and Tamil Nad"
"20","Heterometrus swammerdami Simon, 1872","Kerala, Andhra Pradesh, Chhattisgarh, Madhya Pradesh, Karnataka, Maharashtra, Odisha, Pondicherry, Uttarakhand, Uttar Pradesh, Tamil Nadu and West Benga"
"21","Heterometrus flavimanus (Pocock,1900)","Kerala and Tamil Nadu"
"22","Rugodentus keralaensis Bastawade, Sureshan & Radhakrishnan, 2005","Keral"
