"","NAME","DISTRIBUTION"
"1"," Charmus indicus Hirst, 1915","Andhra Pradesh, Kerala, Pondicherry and Tamil Nadu"
"2"," Hottentotta rugiscutis (Pocock, 1897) (Fig. 36)","Andhra Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Pondicherry, Tamil Nadu and West Bengal"
"3"," Isometrus (Reddyanus) brachycentrus Pocock, 1899","Kerala, Karnataka, and Tamil Nadu"
"4"," Isometrus (Isometrus) maculatus (De Geer, 1778)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Meghalaya and Tamil Nadu"
"5"," Isometrus(Isometrus) thurstoni Pocock, 1893","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu and West Bengal"
"6"," Lychas albimanus Henderson, 1919","Kerala, Himachal Pradesh, Odisha, Uttar Pradesh and Tamil Nadu "
"7"," Lychas hendersoni (Pocock, 1897)","Kerala and Tamil Nadu"
"8"," Lychas laevifrons (Pocock, 1897)","Kerala, Bihar, Gujarat, Madhya Pradesh, Maharashtra, Odisha and West Bengal"
"9"," Lychas tricarinatus (Simon, 1884)","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu, Bihar and Goa"
"10","Buthoscorpio chinnarensis Aswathi, Sureshan & Lourenco, 2015","Kerala"
"11","Chiromachetes fergusoni Pocock, 1899","Kerala "
"12","Iomachus laeviceps (Pocock, 1890)","Kerala and Tamil Nadu"
"13","Liocheles australasiae (Fabricius, 1775)","Kerala and Andaman & Nicobar Island"
"14","Heterometrus barberi (Pocock, 1900)","Distribution: Kerala and Tamil Nadu"
"15","Heterometrus gravimanus (Pocock, 1894)","Distribution: Kerala and Tamil Nadu"
"16","Heterometrus kanaraensis (Pocock, 1900)","Kerala, Karnataka and Goa"
"17","Heterometrus keralaensis Tikader & Bastawade, 1983","Kerala and Maharashtra"
"18","Heterometrus phipsoni (Pocock, 1893)","Kerala, Andhra Pradesh, Madhya Pradesh, Maharashtra, Odisha, West Bengal and Tamil Nadu"
"19","Heterometrus scaber (Thorell, 1876)","Kerala, Karnataka, Maharashtra, Puducherry and Tamil Nadu"
"20","Heterometrus swammerdami Simon, 1872","Kerala, Andhra Pradesh, Chhattisgarh, Madhya Pradesh, Karnataka, Maharashtra, Odisha, Pondicherry, Uttarakhand, Uttar Pradesh, Tamil Nadu and West Bengal"
"21","Heterometrus flavimanus (Pocock,1900)","Kerala and Tamil Nadu "
"22","Rugodentus keralaensis Bastawade, Sureshan & Radhakrishnan, 2005","Kerala"
